# BEAST v10.5.0
# Generated Thu Oct 16 11:40:48 UTC 2025 [seed=1760614845301]
# -beagle -working beastX_run_alpha_a/ebola_dudas_alpha.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
0	-237190.03404748384	-63201.096955379355	-173988.9370921045	212.3944387504304	1803.4165212495695	1824.6216229793858	12.4882	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.001	9.999999999999987E-4	-173988.9370921045	0.0	-63190.57452055976
200000	-96999.31206107771	-13856.37118075243	-83142.94088032527	485.0652582354703	1530.7457017645297	10249.230981719595	12.4882	5.787192724954805	5.832889444231045	6.013875239604396	6.0134684198053545	5.849231858707171	5.812745235732043	6.021853748026126	6.869782789268276	7.4305506996479425	8.12830739967141	8.893262863533476	8.998765208958392	9.56384088122464	9.708877953115955	10.272049473309226	10.286735620035047	10.318831744724394	10.00831236591849	10.570762064553238	10.753306235799139	10.454961121825283	9.840822237614152	9.595623949807624	8.910810934523495	7.515386589162815	2.0	11.439254972494828	0.308900075084175	0.22493985808161357	0.19998573113661716	0.2661743356975941	0.06542858161625507	5.563775666906181E-5	5.56377566690617E-5	-83142.94088032527	0.0	-13844.408707586752
400000	-84893.01420537401	-13832.91061310514	-71060.10359226888	435.11875033274	1580.6922096672602	10936.717029069661	12.4882	4.473097452388835	4.549490228609658	4.5650200464003605	4.75162091202162	4.533618113572101	4.820289888755831	5.0888781543929715	5.889185386214994	6.941953527883547	7.822919317003423	8.987535339350947	9.005491028216776	9.479575921716645	10.03268152192214	10.770233042512512	10.927300501928542	11.55980471962347	11.173522197464196	10.845903556300836	9.864633415955671	10.324642554433295	10.400032958720896	9.5423831405215	8.685346873051113	7.6184682356804485	2.0	10.805378173577292	0.3074446160451861	0.23024990658797487	0.19627328223099413	0.26603219513584475	0.042433895706587704	2.7739756511699354E-5	2.7739756511699357E-5	-71060.10359226888	0.0	-13821.07953149819
600000	-79205.26588583905	-13739.607357130486	-65465.65852870856	412.81099070603796	1602.999969293962	11036.084266222106	12.4882	4.420767463197952	4.358259489243017	4.591904146030142	4.490938288033872	4.308372856334253	4.344892235267847	4.595132124246371	5.432471517163679	6.524080569678084	7.2187372902927445	7.918416638672325	8.16219521337951	8.646170814249528	9.4984414210218	9.717408018165367	10.508271472165575	10.099440098621148	10.225057919952352	10.808813470346994	10.52418084034431	9.928990407584468	9.774367666811441	9.281820353969216	8.710630180760097	7.576962906955486	2.0	10.411988072948017	0.30713132854893616	0.22374123313812383	0.2020514626725084	0.2670759756404315	0.010151637909297238	2.0195720173785796E-5	2.019572017378574E-5	-65465.65852870856	0.0	-13727.877959336221
800000	-75787.47873603503	-13494.002334392311	-62293.476401642714	391.58806681480104	1624.222893185199	10689.788105119469	12.4882	4.376095990037064	4.391776168606418	4.134239370811971	3.71861047701615	3.618136325287333	3.5417451485807487	4.728404793728019	5.489333285009006	6.018519489627884	6.720271231040328	7.172945571338741	7.697476680066387	8.700002490434105	9.878470054678557	10.007496423421363	10.345299716611805	10.233547214993646	10.507565025139924	10.389999039791952	10.379258816742187	10.416542932193458	10.309427669918158	9.331732941373334	8.57165091712867	7.474934632191353	2.0	10.275682632129566	0.30641565011362293	0.2225892051123362	0.20154375332383548	0.2694513914502054	0.04305871501418509	1.8402966321649073E-5	1.8402966321649056E-5	-62293.476401642714	0.0	-13482.264477695842
1000000	-74147.05430683272	-13298.383902484107	-60848.67040434862	367.4324644700964	1648.3784955299036	10427.961679514825	12.4882	2.5239390292574164	2.6255702837618813	2.837422775010675	2.8508068210959507	3.2519620097356343	3.9924602353558516	3.840332505401886	4.793730787124855	5.3536676851366725	6.333296728853489	6.855110515039921	7.83651068869629	8.504462810704323	8.95218087358469	9.414919934760531	9.635871646982235	9.622289970709243	9.854191973269755	9.763794719882087	9.688417720192573	9.561883241017613	9.772625397811352	9.5119405424647	8.509198133518577	7.459690505796414	2.0	9.468569801187714	0.31169357321908087	0.218977966617542	0.1982312633769738	0.2710971967864036	0.021408259632113236	1.7748558422696827E-5	1.774855842269687E-5	-60848.67040434862	0.0	-13286.816975876924
1200000	-73146.92825069366	-13192.056066881541	-59954.87218381212	333.79555614330815	1682.0154038566918	10224.172551360956	12.4882	2.45557973684065	2.6110445961095423	2.5231694428794484	2.370087284319973	2.9820231998736393	3.198288494939558	4.136251595950164	4.878321273367079	5.713994441379825	6.070142368471489	6.998572283005528	7.822045845305851	8.19629572741529	9.070845055405082	9.443426619903127	9.589358775906419	9.996759017587049	10.049558343902767	10.02962897987032	10.3102387631018	9.748998182695601	9.401038473421156	9.074521680613515	8.461889186987953	7.391740601187899	2.0	9.425726552780384	0.31221784856162865	0.21868191760469477	0.20021596157230748	0.26888427226136924	0.01654901641826966	1.7885361145629856E-5	1.7885361145629866E-5	-59954.87218381212	0.0	-13180.502150163322
1400000	-72245.52850374587	-12967.479878924501	-59278.04862482137	316.5770282114441	1699.233931788556	9794.712129024485	12.4882	2.965228347645143	2.6316276273703973	2.7979578599757042	3.2500423541492305	3.3492192086877215	3.523120998358708	3.859296233440809	4.39120300559224	4.785293532958808	5.468990848825436	6.415692795240317	6.937823920256451	7.748825386920628	8.361122934734393	8.964415374098769	9.703309099522023	9.763561630073525	9.856004880382542	9.796932111478114	9.610554013167448	9.846710961249451	9.401040838460137	9.228629112199476	8.538782391354676	7.286532867839057	2.0	9.704111110639209	0.31426186378430093	0.221923394627081	0.2012424579662142	0.26257228362240415	0.13084118278900692	1.7782734682190688E-5	1.778273468219075E-5	-59278.04862482137	0.0	-12955.759128837431
1600000	-71588.5797349234	-12967.679019767133	-58620.90071515628	292.8286739290171	1722.9822860709828	9725.118639085798	12.4882	2.641174798320763	2.3685395757788896	2.8228919262584027	2.9686248709116123	3.463359719747952	3.320192985498993	3.858975527414359	4.45114884248812	4.780427206842083	5.43801695904875	6.748618728746673	7.439663486185019	8.661787979600929	9.622450105112938	9.549737486269866	9.550564299394024	10.070541531002196	9.995657170382895	9.811440944398601	9.953459195592659	9.784426976457093	9.378762073321594	9.086492998221622	8.577548655950316	7.35932837849848	2.0	10.680285220208148	0.31773165672572606	0.22241879582239146	0.19826479187519477	0.26158475557668787	0.11002225415035538	1.6842619228318648E-5	1.684261922831871E-5	-58620.90071515628	0.0	-12955.802235568028
1800000	-71168.95479822355	-12896.216152688148	-58272.7386455354	283.45805749634883	1732.3529025036512	9534.63782515646	12.4882	2.0217932577020887	2.2348482893290806	2.1674531128981815	2.884358350771346	3.2058540633643973	3.1309105099043237	3.4098546183525267	4.419942747309812	5.037928565927494	5.27071673666475	5.869392726595966	6.874438715650919	7.812757486272651	8.748953090436276	9.016630166579706	9.065751667811805	9.478593748046283	9.777344430441996	10.050709970575461	9.983333153801665	9.347903641340395	9.423632726292249	8.602777398531801	7.9140910313570165	7.337698200400049	2.0	10.967156503223187	0.3161126932884727	0.22057017983636215	0.19556824755645777	0.2677488793187076	0.14314726133913813	1.6668823069575325E-5	1.6668823069575346E-5	-58272.7386455354	0.0	-12884.256300305333
