item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    2793.582 0.340318 2.892689 2793     2788     2799     96914345 72.24936 2793.581
posterior_for_Delphy       -87432.0 26.92432 1530.458 -87529   -90319.3 -84404.6 2167047. 3231.124 NaN     
prior_for_Delphy           -24026.8 25.61070 1456.214 -24132.3 -26832.6 -21203.8 2165779. 3233.016 NaN     
likelihood_really_logG     -63405.1 2.605157 101.3759 -63405.6 -63600   -63205.5 4624024. 1514.265 NaN     
rootHeight                 1.796436 0.000938 0.051163 1.78904  1.70766  1.89703  2353060. 2975.698 1.795718
age(root)                  2014.013 0.000935 0.051074 2014.02  2013.92  2014.1   2346654. 2983.822 2014.013
treeLength                 133.1906 0.121047 2.389017 133.192  128.402  137.812  17975875 389.5220 133.1692
skygrid.isloglinear        0        0        0        0        0        0        NaN      NaN      NaN     
skygrid.precision          12.4882  2.74E-6  3.42E-6  12.4882  12.4882  12.4882  44852206 1.561127 12.4882 
skygrid.logPopSize1        -0.63883 0.008527 0.430637 -0.64336 -1.52551 0.143137 2745477. 2550.375 NaN     
skygrid.logPopSize2        -0.51342 0.005962 0.335256 -0.52172 -1.16847 0.153995 2214636. 3161.693 NaN     
skygrid.logPopSize3        -0.23953 0.00448  0.253546 -0.24364 -0.70683 0.281823 2185851. 3203.328 NaN     
skygrid.logPopSize4        -0.00519 0.003657 0.203506 -0.00687 -0.39314 0.401544 2261689. 3095.916 NaN     
skygrid.logPopSize5        0.184269 0.003045 0.150969 0.183477 -0.11196 0.476579 2849029. 2457.679 NaN     
skygrid.logPopSize6        0.332781 0.003044 0.160679 0.335022 0.015105 0.639797 2512226. 2787.169 NaN     
skygrid.logPopSize7        0.782249 0.00301  0.164693 0.780417 0.482338 1.12093  2338123. 2994.709 0.764009
skygrid.logPopSize8        1.257678 0.003264 0.145506 1.25757  0.990373 1.55184  3522533. 1987.774 1.249171
skygrid.logPopSize9        1.226709 0.002535 0.1283   1.22279  0.978209 1.47209  2734512. 2560.602 1.219952
skygrid.logPopSize10       1.599859 0.002328 0.114186 1.59684  1.37322  1.8189   2910073. 2406.125 1.595792
skygrid.logPopSize11       2.332437 0.002873 0.136164 2.33028  2.06831  2.60096  3116909. 2246.455 2.328471
skygrid.logPopSize12       2.4495   0.002475 0.134017 2.44859  2.19818  2.71467  2388923. 2931.027 2.445832
skygrid.logPopSize13       2.720282 0.002863 0.12234  2.72119  2.47816  2.9517   3833781. 1826.395 2.717527
skygrid.logPopSize14       2.43647  0.002709 0.119628 2.43635  2.20248  2.66513  3591839. 1949.419 2.43353 
skygrid.logPopSize15       1.558649 0.002984 0.119789 1.55749  1.30736  1.77965  4345442. 1611.343 1.55402 
skygrid.logPopSize16       1.147746 0.003539 0.153431 1.14365  0.85868  1.44706  3724360. 1880.054 1.137342
skygrid.logPopSize17       0.079953 0.005514 0.185268 0.077652 -0.27937 0.441602 6201635. 1129.057 NaN     
skygrid.logPopSize18       -0.86209 0.004396 0.210738 -0.85968 -1.25759 -0.42886 3046321. 2298.509 NaN     
skygrid.logPopSize19       -0.83583 0.004471 0.227733 -0.83481 -1.26757 -0.38365 2698308. 2594.958 NaN     
skygrid.logPopSize20       -0.94437 0.006168 0.266251 -0.94063 -1.45614 -0.42533 3757263. 1863.590 NaN     
skygrid.logPopSize21       -1.18922 0.007553 0.3394   -1.18786 -1.83098 -0.52513 3467372. 2019.396 NaN     
skygrid.logPopSize22       -1.29760 0.009556 0.419597 -1.29892 -2.14704 -0.51853 3631471. 1928.144 NaN     
skygrid.logPopSize23       -1.30903 0.011183 0.505725 -1.3095  -2.31189 -0.30714 3423511. 2045.268 NaN     
skygrid.logPopSize24       -1.31301 0.012663 0.579848 -1.30993 -2.48846 -0.22072 3339565. 2096.680 NaN     
skygrid.logPopSize25       -1.31315 0.014473 0.646347 -1.30526 -2.68722 -0.12604 3510673. 1994.488 NaN     
skygrid.cutOff             2        0        0        2        2        2        NaN      NaN      2       
kappa                      10.37929 0.008918 0.527685 10.3677  9.35054  11.4276  2000000  3501     10.36591
frequencies1               0.312865 5.59E-5  0.00324  0.312916 0.306332 0.319006 2083260. 3361.078 0.312848
frequencies2               0.21986  4.92E-5  0.002785 0.219864 0.214495 0.225135 2188520. 3199.422 0.219843
frequencies3               0.200477 4.72E-5  0.002779 0.200448 0.195028 0.205744 2021757. 3463.323 0.200458
frequencies4               0.266798 5.27E-5  0.003004 0.266838 0.261369 0.272864 2155517. 3248.407 0.266781
alpha                      0.397894 0.000447 0.025915 0.397005 0.34683  0.447485 2080623. 3365.337 0.397053
clock.rate                 0.001138 1E-6     3.25E-5  0.001137 0.001076 0.001204 6655734. 1052.025 0.001137
meanRate                   0.001138 1E-6     3.25E-5  0.001137 0.001076 0.001204 6655734. 1052.025 0.001137
treeLikelihood_really_logG -63405.1 2.605157 101.3759 -63405.6 -63600   -63205.5 4624024. 1514.265 NaN     
branchRates                0        0        0        0        0        0        NaN      NaN      NaN     
skygrid                    -3825.86 2.691783 57.65339 -3827.34 -3936.43 -3708.49 15263436 458.7433 NaN     
