item            mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior       -26479.0 0.611768 24.11175 -26478.0 -26526.7 -26433.0 45065.52 1553.404 NaN     
likelihood      -26594.8 0.061272 5.120235 -26594.7 -26604.5 -26584.6 10024.82 6983.161 NaN     
prior           115.8294 0.618761 24.35542 116.7366 66.87668 161.9364 45183.93 1549.333 112.9998
treeLikelihood  -26594.8 0.061272 5.120235 -26594.7 -26604.5 -26584.6 10024.82 6983.161 NaN     
Tree.height     0.29346  0.000325 0.026288 0.287687 0.25651  0.345148 10710.42 6536.153 0.292378
Tree.treeLength 1.395183 0.005786 0.244355 1.360363 0.969518 1.87895  39253.37 1783.413 1.375215
clockRate       0.00219  8.95E-6  0.000465 0.00216  0.001349 0.003147 25903.37 2702.543 0.002141
gammaShape      1.036029 0.011396 1.028132 0.708798 0.001131 3.052517 8600.980 8139.188 0.587193
kappa           9.326526 0.037484 3.291051 8.700327 4.103831 15.96311 9081.305 7708.693 8.818557
Coalescent      118.8379 0.608322 23.98736 119.7021 70.80343 164.4241 45022.70 1554.882 116.1850
ePopSize        0.114772 0.001117 0.047691 0.10528  0.04317  0.210773 38384.62 1823.777 0.106331
growthRate      5.364676 0.041154 3.607849 5.226012 -1.52063 12.44713 9108.556 7685.630 NaN     
freqParameter.1 0.319106 8.09E-5  0.003392 0.319072 0.312642 0.325598 39836.60 1757.303 0.319088
freqParameter.2 0.214021 6.56E-5  0.002973 0.214034 0.20798  0.21968  34128.41 2051.223 0.214   
freqParameter.3 0.19806  6.09E-5  0.002861 0.198158 0.192388 0.203396 31683.44 2209.513 0.19804 
freqParameter.4 0.268813 6.83E-5  0.00316  0.268861 0.262506 0.274559 32717.83 2139.658 0.268794
