# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/ebola_delphy.log <DASH-DASH>v0-log-every 50000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/ebola_delphy.trees <DASH-DASH>v0-tree-every 500000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/ebola_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 1000000
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	coalescent	
0	78	-24336.1	3427.63	-27763.8	1.06943	2013.39	39.0401	3	0	1	0.319373	0.213777	0.197901	0.268949	0.001	0.001	-27763.8	0.0	-330.958	
50000	64	-23370.8	3595.04	-26965.8	1.17748	2013.28	17.062	4.1292	2.07724	10.0718	0.318536	0.215201	0.200398	0.265865	0.000215657	0.000215657	-26965.8	0.0	-160.622	
100000	61	-23291.3	3615.94	-26907.3	1.07063	2013.39	13.601	4.41965	3.55333	12.0082	0.315377	0.218875	0.196971	0.268777	0.000221311	0.000221311	-26907.3	0.0	-139.279	
150000	60	-23274.6	3616.17	-26890.7	0.77911	2013.68	12.9889	4.92158	4.53067	5.61596	0.319287	0.209239	0.198812	0.272661	0.000236353	0.000236353	-26890.7	0.0	-140.206	
200000	59	-23221.7	3637.59	-26859.3	0.760765	2013.7	9.97119	3.72148	4.68574	12.5718	0.316261	0.217612	0.198209	0.267918	0.000299302	0.000299302	-26859.3	0.0	-117.674	
250000	59	-23201.8	3653.94	-26855.8	0.830206	2013.63	9.01891	1.84671	3.41646	5.40191	0.316625	0.210084	0.200771	0.272521	0.000401002	0.000401002	-26855.8	0.0	-103.51	
300000	55	-23132.3	3666.92	-26799.2	1.17403	2013.28	9.45313	1.37235	1.14166	6.20722	0.31644	0.212237	0.204464	0.26686	0.000323695	0.000323695	-26799.2	0.0	-90.6916	
350000	55	-23121.2	3679.65	-26800.8	1.47316	2012.99	9.3035	1.18861	1.20253	6.77386	0.318182	0.208571	0.200259	0.272989	0.000219995	0.000219995	-26800.8	0.0	-77.97	
400000	55	-23071.6	3699.8	-26771.4	0.591817	2013.87	5.99403	1.39176	5.98943	7.31486	0.319885	0.214042	0.198053	0.26802	0.000514867	0.000514867	-26771.4	0.0	-57.3816	
450000	55	-23071	3705.02	-26776	0.831293	2013.63	6.18217	0.991995	3.19091	7.51702	0.317102	0.21196	0.203604	0.267334	0.000579593	0.000579593	-26776	0.0	-52.5494	
500000	56	-23062.8	3716.28	-26779	0.509554	2013.95	5.04471	0.971108	5.68042	8.37999	0.32356	0.213545	0.196685	0.266209	0.000707058	0.000707058	-26779	0.0	-41.0443	
550000	55	-23013.5	3737.4	-26750.9	0.474016	2013.98	4.07389	0.810243	5.52898	11.0736	0.321113	0.210319	0.199852	0.268716	0.000775007	0.000775007	-26750.9	0.0	-19.6071	
600000	55	-22988.8	3757.77	-26746.5	0.464809	2013.99	3.6849	0.454403	2.41649	7.42807	0.319464	0.216865	0.199984	0.263687	0.000920361	0.000920361	-26746.5	0.0	-0.617228	
650000	55	-22985.5	3756.24	-26741.7	0.380349	2014.08	3.37956	0.627225	5.34083	10.3708	0.325176	0.213455	0.196935	0.264434	0.000967676	0.000967676	-26741.7	0.0	-1.15385	
