# BEAST v10.5.0
# Generated Fri Oct 17 12:27:02 UTC 2025 [seed=1760704018445]
# -beagle -working beastX_run_b/h5n1-andersen-e756a15-ALL_full_dates_only.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
0	-693682.1266100876	-123435.175203137	-570246.9514069506	100.14859317227828	1925.4431868277218	2071.2115724728383	6.24524	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.833	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.001	9.99999999999998E-4	-570246.9514069506	0.0	-123426.35128293766
200000	-202962.85040130772	-26493.441072518875	-176469.40932878884	118.88882547918844	1906.7029545208115	6881.047494881097	6.24524	5.19640067463618	5.057665479674977	5.530459674425431	6.205739354076695	6.123559583016058	5.561344999785943	5.816569507364112	6.132390792930824	6.820474374886106	7.568725021865286	7.650938804805084	7.688564608035381	7.349639575270891	7.226406328403809	8.04160328366144	8.092591175258836	8.472261008749236	8.702842302133032	8.609271417638267	8.28813956229302	8.008714233856864	7.945920966170575	6.696884138978113	1.833	20.064666006894317	0.2792951030191246	0.21869897355682244	0.27484150464018303	0.22716441878386995	1.8129059542211135E-4	1.8129059542211192E-4	-176469.40932878884	0.0	-26481.062800306823
400000	-147081.18323491537	-25898.176202293103	-121183.00703262226	104.79888446424287	1920.792895535757	7325.664678275698	6.24524	4.256394728679054	3.865925492919922	4.018215256834403	5.2381161282038535	5.494226018753873	5.575804701994175	5.218867158486021	6.032969671014929	6.588693525068552	6.7729721625364085	7.384748422975848	7.066004580938263	6.92609486427271	7.331633486921203	7.932779896125454	8.953254020757168	9.430154089124114	9.568633398797498	9.455825936972461	9.704456748131252	9.43077176748935	8.281368777893857	6.774832195984679	1.833	18.03233582559412	0.32915780960275537	0.20457301735718963	0.2538448397863509	0.21242433325370416	1.110915230565024E-4	1.1109152305650169E-4	-121183.00703262226	0.0	-25886.037699263754
600000	-124326.91681358649	-25187.39120626122	-99139.52560732527	84.2596346293175	1941.3321453706824	7117.88821688146	6.24524	3.0435380367325493	3.108980356430931	3.6708652909835204	4.720979400775165	5.17589570374876	5.510835552004726	4.5587331656473795	5.2051279668017685	5.936950505642574	6.811390761608172	6.925480266888911	6.906825916202521	6.617415492182343	7.121076380476605	8.350240291184651	8.73703287660279	9.274689778202415	9.55562991399095	10.075586876886566	9.765361706015348	9.47903385671709	8.388162056024044	6.779917529678065	1.833	18.119755057127772	0.3192058383839596	0.2083465430476729	0.25119636017536773	0.22125125839299994	8.707287599893667E-5	8.707287599893642E-5	-99139.52560732527	0.0	-25175.242002970204
800000	-110906.90330196447	-24452.667977105273	-86454.2353248592	80.96529846527173	1944.6264815347283	6957.994769612492	6.24524	2.3437431711434655	2.543041116333386	3.023020215722824	4.175918616152446	5.075507376592373	4.88245802534647	4.3895049553768954	4.487373893891235	5.95857710053302	6.4114046829715425	6.349031526937012	6.346040180632319	6.276960988858125	6.6902703883721975	8.000058187031826	8.720887324712141	9.370027570921524	9.678633347155777	9.353895449201593	9.463981389069183	9.108481319168149	8.965043713606194	6.813530718403238	1.833	17.594758956990116	0.32876216342785347	0.2062982924437039	0.2452531595181138	0.21968638461032894	7.453456942807968E-5	7.453456942807956E-5	-86454.2353248592	0.0	-24440.583594980704
1000000	-102263.8330741499	-23630.257138890796	-78633.5759352591	68.1814801389266	1957.4102998610733	6484.150904246758	6.24524	1.7103474466584043	2.314560119412068	2.5466179484770315	4.186118578699832	4.462641836518021	4.4945871378087014	4.19803302141728	4.261786454765226	5.567596244050282	6.186102021807383	6.5675650485552595	5.903533037016897	6.2342133173540075	6.934894102536341	7.724935454414495	8.330683999821316	8.986020910436961	9.517668883994663	9.24790989058156	9.573357847271033	8.351185560996164	8.056315397043639	6.69435479016265	1.833	16.99310923554794	0.3295313165022049	0.20334292356870767	0.24738054490528746	0.21974521502380012	7.108054438986068E-5	7.108054438986041E-5	-78633.5759352591	0.0	-23618.248749555914
1200000	-96469.42280610546	-23053.03253159149	-73416.39027451396	64.88796277527638	1960.7038172247235	6064.688400962753	6.24524	1.9287436118171937	2.1391128148538354	3.058325932678122	3.6261130079756247	3.9246798082901315	4.2460024244890615	4.161650293155819	3.8610055372341616	5.334191524647021	6.1360094983038405	6.382604815656306	5.593246058379016	6.270007391705344	6.731191551857477	7.607385355624328	8.435858986836271	9.145848613943521	9.102085742277268	9.485272125920913	9.236730387907295	8.794352860485144	7.791313170429327	6.678825877326292	1.833	17.526628988544616	0.32303977300895265	0.2070554052700343	0.24655147114108444	0.22335335057992878	6.757616910106942E-5	6.757616910107E-5	-73416.39027451396	0.0	-23040.956661597367
1400000	-92330.76849278854	-22183.696755901	-70147.07173688753	48.744883753952145	1976.846896246048	5315.007745639048	6.24524	1.796933505276207	1.9594399163103096	2.548333779171793	3.445647944377588	3.9896317865650213	3.7668748150589035	4.358970427203923	3.6000384192522064	5.17054065360661	5.73748871819415	5.858104686648377	5.607501760280273	5.756637795726425	6.100083403894553	7.402025179807347	8.164458822643322	8.599391310470248	8.975106972055707	9.087625852607257	9.016864156287859	8.739191670921928	8.064728326098694	6.4410466472066545	1.833	18.51047108231744	0.32461447874042365	0.2055833121008874	0.24971834847108954	0.2200838606875995	7.208356611299958E-5	7.208356611299946E-5	-70147.07173688753	0.0	-22171.500172204174
1600000	-89880.94662595642	-21316.424852038683	-68564.52177391773	43.57611801770811	1982.015661982292	4730.692650568272	6.24524	1.6073046681229926	1.4671974788208166	2.061079315291924	3.093369207252505	3.668018960142945	3.813058553740626	3.5613785133873295	3.468660811920868	4.704011465773573	5.800511279393259	6.006601485457172	5.121538290040184	5.547767535230699	6.124187430256939	7.288091842826553	7.93029811797494	8.410789378113453	9.403767961502584	9.257518323015017	9.193805734406258	8.665497555877769	7.836576075459974	6.278647921052212	1.833	17.298081278026473	0.3277171061759436	0.21007683486988063	0.2472161380604826	0.21498992089369334	7.685250099563246E-5	7.685250099563284E-5	-68564.52177391773	0.0	-21304.37770891422
1800000	-88210.99972415637	-20695.09091805335	-67515.90880610302	36.18005414009343	1989.4117258599065	4074.3376617173803	6.24524	1.3070998186286813	1.634681271184145	1.9134809318591386	3.362945342979453	3.6914324437727886	3.362020660765614	3.4982951030832923	3.2362024613603237	4.575635376799224	5.5131996042188565	5.714157814706229	4.934350760754802	5.521299362379949	6.242704103243281	6.9662493407348665	7.447612732900473	8.327987906153872	8.678501977426528	8.433595924057784	8.663406903348815	8.090183456115582	7.551603521242217	6.156111027354954	1.833	18.002884188231103	0.3197975736409771	0.21104056414673958	0.24730236545787693	0.22185949675440653	8.913282657207091E-5	8.913282657207066E-5	-67515.90880610302	0.0	-20682.956028254892
