item                                                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                            -49700.6 8.80199  65.15769 -49701.6 -49823.3 -49570.6 2554990. 54.79863 NaN     
likelihood                                           -48570.2 1.871453 16.99161 -48569.9 -48604.1 -48537.9 1698430. 82.43494 NaN     
prior                                                -1130.43 10.28279 67.42174 -1132.17 -1265.41 -1002.42 3256730. 42.99097 NaN     
treeLikelihood.input_alignment                       -48570.2 1.871453 16.99161 -48569.9 -48604.1 -48537.9 1698430. 82.43494 NaN     
Tree.height                                          0.424393 0.001088 0.029744 0.422539 0.370306 0.482451 187463.7 746.8644 0.423371
Tree.treeLength                                      22.60882 0.169939 1.131356 22.60019 20.49613 24.85643 3158960. 44.32154 22.58055
clockRate                                            0.001    7.97E-6  6.44E-5  0.000998 0.000877 0.001127 2143958. 65.30443 0.000998
gammaShape                                           0.055038 0.000359 0.037861 0.048996 0.001003 0.124249 12584.68 11125.42 0.039813
kappa                                                5.352785 0.004202 0.457353 5.323818 4.444755 6.215703 11821.42 11843.74 5.333406
Coalescent                                           -1127.20 10.26836 67.35628 -1128.89 -1261.31 -998.633 3253910. 43.02822 NaN     
ePopSize                                             6.60963  0.088594 1.227697 6.484322 4.404349 9.045428 729103.9 192.0302 6.499178
growthRate                                           11.87634 0.043811 1.433968 11.84876 9.191453 14.81009 130691.0 1071.305 11.78911
freqParameter.1                                      0.296154 4.48E-5  0.0026   0.296153 0.291112 0.30125  41659.87 3360.787 0.296143
freqParameter.2                                      0.181507 3.58E-5  0.002232 0.181484 0.177268 0.185954 36013.00 3887.762 0.181494
freqParameter.3                                      0.192994 3.83E-5  0.00223  0.193032 0.18868  0.197563 41407.61 3381.262 0.192982
freqParameter.4                                      0.329344 4.96E-5  0.002698 0.329315 0.324096 0.33465  47292.45 2960.514 0.329333
logP(mrca(tip-dist.NC_045512.2|NC_045512.2|2019-12)) 2.465928 9.39E-7  1.56E-6  2.465928 2.465928 2.465928 50914726 2.749892 2.465928
height(NC_045512.2|NC_045512.2|2019-12)              2019.963 0.000425 0.023428 2019.966 2019.922 2019.999 46163.54 3032.912 2019.963
