#node	date	numeric date
NODE_0000004	2019-10-22	2019.807275
NODE_0000001	2019-10-22	2019.807275
NODE_0000011	2020-02-28	2020.159275
NODE_0000016	2020-03-17	2020.209728
MA_MGH_00614|MT520280.1|2020-03-28	2020-03-28	2020.239071
NODE_0000005	2020-03-18	2020.211196
MA_MGH_00563|MT520261.1|2020-03-22	2020-03-22	2020.222678
NODE_0000017	2020-03-26	2020.233074
MA_MGH_00908|MT873173.1|2020-04-10	2020-04-10	2020.274590
MA_MGH_00174|MT520254.1|2020-03-26	2020-03-26	2020.233607
NODE_0000008	2020-02-28	2020.159479
NODE_0000010	2020-02-28	2020.159479
MA_MGH_00566|MT520360.1|2020-03-22	2020-03-22	2020.222678
MA_MGH_00555|MT520307.1|2020-03-22	2020-03-22	2020.222678
NODE_0000013	2020-03-11	2020.192210
MA_MGH_00004|MT520542.1|2020-03-11	2020-03-11	2020.192623
NODE_0000014	2020-03-26	2020.233607
MA_MGH_00145|MT520245.1|2020-03-26	2020-03-26	2020.233607
MA_MGH_00143|MT520189.1|2020-03-26	2020-03-26	2020.233607
NODE_0000015	2019-10-22	2019.807275
NODE_0000009	2020-04-02	2020.252579
MA_MGH_00757|MT873206.1|2020-04-10	2020-04-10	2020.274590
MA_MGH_00696|MT520497.1|2020-04-06	2020-04-06	2020.263661
NODE_0000019	2020-03-07	2020.181260
MA_MGH_00069|MT520194.1|2020-03-25	2020-03-25	2020.230874
NODE_0000018	2020-03-07	2020.181260
MA_MGH_00051|MT520450.1|2020-03-24	2020-03-24	2020.228142
NODE_0000020	2020-03-07	2020.181999
MA_DPH_00011|MT873332.1|2020-03-10	2020-03-10	2020.189891
NODE_0000021	2020-03-11	2020.191718
MA_MGH_00517|MT520490.1|2020-03-14	2020-03-14	2020.200820
NODE_0000023	2020-03-16	2020.206430
MA_MGH_00600|MT520457.1|2020-03-28	2020-03-28	2020.239071
MA_MGH_00153|MT520430.1|2020-03-26	2020-03-26	2020.233607
MA_MGH_00018|MT520177.1|2020-03-25	2020-03-25	2020.230874
MA_MGH_00049|MT520339.1|2020-03-23	2020-03-23	2020.225410
MA_MGH_00551|MT520413.1|2020-03-20	2020-03-20	2020.217213
NODE_0000022	2020-03-24	2020.228142
MA_MGH_00646|MT520494.1|2020-04-02	2020-04-02	2020.252732
MA_MGH_00063|MT520289.1|2020-03-24	2020-03-24	2020.228142
NODE_0000025	2020-03-17	2020.209495
NODE_0000026	2020-03-18	2020.211749
MA_MGH_00530|MT520253.1|2020-03-18	2020-03-18	2020.211749
MA_MGH_00090|MT520486.1|2020-03-25	2020-03-25	2020.230874
NODE_0000027	2020-03-21	2020.219945
MA_MGH_00676|MT520463.1|2020-03-21	2020-03-21	2020.219945
NODE_0000030	2020-03-23	2020.224803
MA_MGH_00071|MT520521.1|2020-03-23	2020-03-23	2020.225410
MA_MGH_00132|MT520545.1|2020-03-25	2020-03-25	2020.230874
NODE_0000000	2019-12-01	2019.916438
NC_045512.2|NC_045512.2|2019-12	2019-12-01	2019.916438
NODE_0000024	2019-12-03	2019.921931
NODE_0000002	2020-02-25	2020.151337
MA_MGH_00569|MT520215.1|2020-03-22	2020-03-22	2020.222678
NODE_0000003	2020-02-29	2020.162535
NODE_0000007	2020-03-14	2020.200582
MA_MGH_00528|MT520419.1|2020-03-18	2020-03-18	2020.211749
MA_MGH_00209|MT520355.1|2020-03-26	2020-03-26	2020.233607
NODE_0000028	2020-02-29	2020.162659
MA_DPH_00002|MT873497.1|2020-03-03	2020-03-03	2020.170765
NODE_0000029	2020-03-05	2020.176230
MA_DPH_00003|MT873080.1|2020-03-05	2020-03-05	2020.176230
NODE_0000006	2020-03-31	2020.248614
MA_DPH_00185|MT873255.1|2020-04-06	2020-04-06	2020.263661
MA_MGH_01166|MT873074.1|2020-04-29	2020-04-29	2020.326503
NODE_0000034	2020-02-20	2020.139106
NODE_0000035	2020-03-13	2020.197789
MA_MGH_00089|MT520259.1|2020-03-25	2020-03-25	2020.230874
NODE_0000033	2020-03-13	2020.197789
MA_MGH_00059|MT520249.1|2020-03-23	2020-03-23	2020.225410
NODE_0000036	2020-03-13	2020.197789
NODE_0000041	2020-03-18	2020.211068
MA_MGH_00091|MT520423.1|2020-03-26	2020-03-26	2020.233607
NODE_0000046	2020-03-18	2020.211068
MA_MGH_00048|MT520366.1|2020-03-23	2020-03-23	2020.225410
NODE_0000048	2020-03-18	2020.211462
MA_MGH_00887|MT873456.1|2020-04-14	2020-04-14	2020.285519
MA_MGH_00615|MT520415.1|2020-03-28	2020-03-28	2020.239071
NODE_0000038	2020-03-13	2020.197789
NODE_0000039	2020-03-18	2020.211764
MA_MGH_01151|MT873257.1|2020-04-29	2020-04-29	2020.326503
NODE_0000037	2020-03-23	2020.225410
MA_MGH_00189|MT520447.1|2020-03-26	2020-03-26	2020.233607
MA_MGH_00024|MT520399.1|2020-03-23	2020-03-23	2020.225410
NODE_0000044	2020-03-25	2020.230312
MA_MGH_00611|MT520209.1|2020-03-28	2020-03-28	2020.239071
MA_MGH_00168|MT520311.1|2020-03-26	2020-03-26	2020.233607
MA_MGH_00076|MT520277.1|2020-03-25	2020-03-25	2020.230874
NODE_0000057	2020-03-25	2020.230312
NODE_0000051	2020-04-03	2020.254969
MA_MGH_01491|MT873050.1|2020-05-07	2020-05-07	2020.348361
NODE_0000052	2020-04-13	2020.282118
MA_MGH_00978|MT873499.1|2020-05-03	2020-05-03	2020.337432
MA_MGH_00977|MT873251.1|2020-05-03	2020-05-03	2020.337432
MA_MGH_01080|MT873152.1|2020-05-01	2020-05-01	2020.331967
NODE_0000045	2020-03-31	2020.248007
NODE_0000050	2020-04-04	2020.259173
MA_MGH_00694|MT520478.1|2020-04-06	2020-04-06	2020.263661
MA_MGH_00693|MT520290.1|2020-04-06	2020-04-06	2020.263661
NODE_0000047	2020-04-30	2020.329158
MA_MGH_01126|MT873103.1|2020-05-02	2020-05-02	2020.334699
MA_MGH_01227|MT873182.1|2020-05-04	2020-05-04	2020.340164
NODE_0000055	2020-03-18	2020.212327
MA_MGH_00165|MT520528.1|2020-03-26	2020-03-26	2020.233607
NODE_0000059	2020-04-02	2020.252417
MA_MGH_01157|MT873430.1|2020-04-29	2020-04-29	2020.326503
MA_MGH_01543|MT873338.1|2020-04-28	2020-04-28	2020.323770
NODE_0000054	2020-03-23	2020.226329
MA_MGH_01120|MT873083.1|2020-05-02	2020-05-02	2020.334699
NODE_0000072	2020-04-01	2020.249923
MA_DPH_00053|MT873094.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00176|MT873222.1|2020-04-03	2020-04-03	2020.255464
MA_MGH_00654|MT520405.1|2020-04-02	2020-04-02	2020.252732
NODE_0000056	2020-04-01	2020.251270
MA_DPH_00063|MT873194.1|2020-04-03	2020-04-03	2020.255464
NODE_0000073	2020-04-29	2020.326257
MA_MGH_01623|MT873051.1|2020-05-09	2020-05-09	2020.353825
MA_MGH_00900|MT873293.1|2020-05-05	2020-05-05	2020.342896
MA_MGH_01328|MT873336.1|2020-05-05	2020-05-05	2020.342896
MA_MGH_01333|MT873191.1|2020-05-05	2020-05-05	2020.342896
NODE_0000069	2020-03-23	2020.225371
NODE_0000076	2020-03-24	2020.227725
NODE_0000078	2020-03-31	2020.248391
MA_MGH_01460|MT873143.1|2020-04-28	2020-04-28	2020.323770
MA_MGH_00935|MT873181.1|2020-05-02	2020-05-02	2020.334699
NODE_0000053	2020-03-25	2020.230175
MA_MGH_00080|MT520197.1|2020-03-25	2020-03-25	2020.230874
MA_MGH_00749|MT873359.1|2020-04-10	2020-04-10	2020.274590
NODE_0000058	2020-03-31	2020.247458
NODE_0000060	2020-04-01	2020.249535
MA_MGH_01206|MT873129.1|2020-05-04	2020-05-04	2020.340164
NODE_0000061	2020-04-01	2020.249681
MA_MGH_01415|MT873131.1|2020-05-07	2020-05-07	2020.348361
NODE_0000063	2020-04-01	2020.249718
NODE_0000064	2020-04-03	2020.254428
MA_MGH_00665|MT520403.1|2020-04-04	2020-04-04	2020.258197
MA_MGH_00798|MT873448.1|2020-04-13	2020-04-13	2020.282787
NODE_0000062	2020-04-03	2020.254659
MA_DPH_00236|MT873457.1|2020-04-16	2020-04-16	2020.290984
MA_DPH_00238|MT873399.1|2020-04-16	2020-04-16	2020.290984
MA_DPH_00197|MT873351.1|2020-04-07	2020-04-07	2020.266393
NODE_0000066	2020-03-31	2020.248119
NODE_0000067	2020-04-03	2020.254162
MA_MGH_01494|MT873319.1|2020-05-07	2020-05-07	2020.348361
MA_DPH_00243|MT873295.1|2020-04-16	2020-04-16	2020.290984
NODE_0000080	2020-04-08	2020.269126
MA_MGH_00711|MT520198.1|2020-04-08	2020-04-08	2020.269126
NODE_0000081	2020-04-28	2020.323417
MA_MGH_01382|MT873397.1|2020-05-06	2020-05-06	2020.345628
MA_MGH_01248|MT873490.1|2020-05-04	2020-05-04	2020.340164
MA_MGH_01127|MT873169.1|2020-05-02	2020-05-02	2020.334699
NODE_0000070	2020-04-29	2020.326160
