name,date
TIP_6|2024-01-26,2024-01-26
TIP_82|2024-01-19,2024-01-19
TIP_2|2024-02-29,2024-02-29
TIP_13|2024-02-09,2024-02-09
TIP_35|2024-01-08,2024-01-08
TIP_5|2024-01-02,2024-01-02
TIP_73|2024-02-06,2024-02-06
TIP_97|2024-02-23,2024-02-23
TIP_64|2024-01-31,2024-01-31
TIP_61|2024-03-20,2024-03-20
TIP_72|2024-02-22,2024-02-22
TIP_8|2024-06-24,2024-06-24
TIP_42|2024-05-13,2024-05-13
TIP_50|2024-06-29,2024-06-29
TIP_16|2024-07-26,2024-07-26
TIP_65|2024-07-16,2024-07-16
TIP_14|2024-01-23,2024-01-23
TIP_55|2024-03-16,2024-03-16
TIP_68|2024-03-23,2024-03-23
TIP_78|2024-03-13,2024-03-13
TIP_94|2024-03-07,2024-03-07
TIP_96|2024-05-19,2024-05-19
TIP_3|2024-03-30,2024-03-30
TIP_34|2024-03-21,2024-03-21
TIP_62|2024-05-05,2024-05-05
TIP_43|2024-05-03,2024-05-03
TIP_85|2024-03-24,2024-03-24
TIP_69|2024-03-17,2024-03-17
TIP_21|2024-04-01,2024-04-01
TIP_31|2024-05-06,2024-05-06
TIP_88|2024-06-08,2024-06-08
TIP_33|2024-01-23,2024-01-23
TIP_53|2024-03-17,2024-03-17
TIP_100|2024-05-19,2024-05-19
TIP_52|2024-07-06,2024-07-06
TIP_19|2024-06-22,2024-06-22
TIP_74|2024-07-23,2024-07-23
TIP_22|2024-07-18,2024-07-18
TIP_56|2024-03-13,2024-03-13
TIP_98|2024-05-15,2024-05-15
TIP_47|2024-06-12,2024-06-12
TIP_83|2024-04-21,2024-04-21
TIP_90|2024-05-14,2024-05-14
TIP_37|2024-07-26,2024-07-26
TIP_60|2024-04-17,2024-04-17
TIP_67|2024-05-07,2024-05-07
TIP_10|2024-05-01,2024-05-01
TIP_1|2024-04-25,2024-04-25
TIP_46|2024-04-25,2024-04-25
TIP_93|2024-01-24,2024-01-24
TIP_80|2024-04-08,2024-04-08
TIP_49|2024-03-01,2024-03-01
TIP_29|2024-06-17,2024-06-17
TIP_7|2024-05-22,2024-05-22
TIP_54|2024-05-06,2024-05-06
TIP_59|2024-01-10,2024-01-10
TIP_44|2024-01-05,2024-01-05
TIP_51|2024-07-25,2024-07-25
TIP_84|2024-07-29,2024-07-29
TIP_75|2024-07-21,2024-07-21
TIP_36|2024-07-07,2024-07-07
TIP_66|2024-07-19,2024-07-19
TIP_26|2024-03-20,2024-03-20
TIP_38|2024-01-13,2024-01-13
TIP_18|2024-02-06,2024-02-06
TIP_27|2024-01-02,2024-01-02
TIP_99|2024-02-12,2024-02-12
TIP_71|2024-02-28,2024-02-28
TIP_17|2024-06-21,2024-06-21
TIP_91|2024-04-24,2024-04-24
TIP_32|2024-05-08,2024-05-08
TIP_28|2024-02-23,2024-02-23
TIP_89|2024-03-07,2024-03-07
TIP_20|2024-02-28,2024-02-28
TIP_70|2024-02-13,2024-02-13
TIP_57|2024-02-07,2024-02-07
TIP_30|2024-01-04,2024-01-04
TIP_12|2024-02-14,2024-02-14
TIP_48|2024-02-23,2024-02-23
TIP_39|2024-07-07,2024-07-07
TIP_77|2024-06-04,2024-06-04
TIP_40|2024-05-02,2024-05-02
TIP_76|2024-05-06,2024-05-06
TIP_4|2024-06-28,2024-06-28
TIP_63|2024-05-13,2024-05-13
TIP_23|2024-06-22,2024-06-22
TIP_58|2024-02-20,2024-02-20
TIP_79|2024-01-20,2024-01-20
TIP_95|2024-04-06,2024-04-06
TIP_87|2024-06-19,2024-06-19
TIP_41|2024-06-06,2024-06-06
TIP_45|2024-02-14,2024-02-14
TIP_25|2024-02-07,2024-02-07
TIP_9|2024-01-29,2024-01-29
TIP_15|2024-02-16,2024-02-16
TIP_92|2024-03-03,2024-03-03
TIP_86|2024-03-12,2024-03-12
TIP_24|2024-03-12,2024-03-12
TIP_11|2024-07-07,2024-07-07
TIP_81|2024-04-17,2024-04-17
