# Produced by delphy version 1.0 (build 2036, commit 06a7ee4)
# Invocation: ../delphy <DASH-DASH>v0-in-maple exp_1000/inputs/exp_1000.maple <DASH-DASH>v0-threads 50 <DASH-DASH>v0-steps 5000000000 <DASH-DASH>v0-out-log-file exp_1000/delphy_outputs_a/exp_1000.log <DASH-DASH>v0-log-every 500000 <DASH-DASH>v0-out-trees-file exp_1000/delphy_outputs_a/exp_1000.trees <DASH-DASH>v0-tree-every 25000000 <DASH-DASH>v0-out-delphy-file exp_1000/delphy_outputs_a/exp_1000.dphy <DASH-DASH>v0-delphy-snapshot-every 25000000
Sample	numMuts	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	1187	-66857.7	-61158	-5699.71	-61158	1.36278	0.001	1	-6509.74	3	0	0.301033	0.180967	0.1989	0.3191	
500000	1015	-58967.6	-56610	-2357.63	-56610	1.27243	0.00032342	4.21772	-3164.88	13.8757	2.19927	0.300833	0.1811	0.199113	0.318955	
1000000	989	-58039.5	-56016.1	-2023.34	-56016.1	1.26201	0.000438418	4.32749	-2830.72	11.3327	2.9872	0.296939	0.182385	0.198382	0.322295	
1500000	985	-57663.8	-55833.7	-1830.11	-55833.7	1.15435	0.000497255	4.1614	-2637.73	9.40452	3.20709	0.296267	0.181542	0.202378	0.319813	
2000000	982	-57288.9	-55664.7	-1624.21	-55664.7	1.08995	0.000548848	4.40022	-2431.97	7.47782	3.47866	0.30127	0.178454	0.195159	0.325117	
2500000	980	-56938.8	-55518.8	-1419.96	-55518.8	0.985092	0.000591647	4.06342	-2227.99	6.29702	3.72482	0.307285	0.182065	0.19637	0.31428	
3000000	978	-56866.9	-55464.3	-1402.59	-55464.3	0.943575	0.000644634	4.33438	-2210.42	6.89878	4.68476	0.301311	0.184318	0.196374	0.317996	
3500000	978	-56581.3	-55354.1	-1227.17	-55354.1	0.8947	0.000740296	4.28415	-2035.19	5.75606	4.68	0.301166	0.179898	0.202314	0.316622	
4000000	978	-56435	-55293.6	-1141.45	-55293.6	0.763411	0.000726722	4.29218	-1949.47	5.67911	5.31864	0.302429	0.178305	0.198757	0.320509	
4500000	978	-56293.2	-55237.9	-1055.25	-55237.9	0.707966	0.000788465	4.52302	-1863.14	5.7697	6.21643	0.307039	0.180882	0.195658	0.316421	
5000000	979	-56131.9	-55186.7	-945.163	-55186.7	0.659029	0.000817145	3.96927	-1753.12	6.11208	7.78757	0.305066	0.179627	0.19664	0.318667	
5500000	977	-55939.9	-55102.6	-837.279	-55102.6	0.690472	0.000855029	4.70978	-1644.92	6.54582	8.70472	0.305115	0.178508	0.195292	0.321084	
6000000	976	-55872.9	-55069.3	-803.634	-55069.3	0.688147	0.00091082	4.39288	-1611.32	6.76381	9.06089	0.301171	0.183441	0.196373	0.319015	
