Observable	Low_ESS_runs	Very_low_ESS_runs	N	Low_frac	Very_low_frac	Mean_ESS	Std_ESS	Ignored
age(root)	8	6	200	0.04	0.03	583.8783784184342	139.87916468763487	no
branchRates	0	0	200	0.0	0.0	nan	nan	no
clock.rate	6	4	200	0.03	0.02	577.0753829754877	131.77308489825813	no
coalescent	4	4	200	0.02	0.02	555.0746176714117	142.17632544171067	no
exponential.growthRate	2	2	200	0.01	0.01	630.7742358981142	106.62229678169118	no
exponential.popSize	2	2	200	0.01	0.01	643.3581080127748	96.87721208465032	no
frequencies1	0	0	200	0.0	0.0	647.9886492821117	72.93366243942211	no
frequencies2	0	0	200	0.0	0.0	651.6627726399031	68.8895714404147	no
frequencies3	0	0	200	0.0	0.0	656.3306189054186	67.350608987633	no
frequencies4	0	0	200	0.0	0.0	655.1389958551292	65.78258092159761	no
kappa	0	0	200	0.0	0.0	655.5168182318355	67.41615447272737	no
likelihood_really_logG	8	8	200	0.04	0.04	542.3521533877763	153.82313786895222	no
meanRate	6	4	200	0.03	0.02	577.0753829754877	131.77308489825813	no
numMuts	7	6	200	0.035	0.03	576.9879064947385	154.70808136942716	no
posterior_for_Delphy	8	8	200	0.04	0.04	537.7093988855231	155.7752035765348	no
prior_for_Delphy	4	4	200	0.02	0.02	556.7280769009567	141.37828859674724	no
rootHeight	8	6	200	0.04	0.03	581.8117232484428	139.67030541492093	no
treeLength	8	8	200	0.04	0.04	533.3644725721449	153.68605830983532	no
treeLikelihood_really_logG	8	8	200	0.04	0.04	542.3521533877763	153.82313786895222	no
