replicate	tip_name	true_date	posterior_mean	hpd_lo	hpd_hi	normalized_rank
sim_000	TIP_044	2025.0657534246575	2025.114755838803	2025.035116	2025.200389	0.09415121255349501
sim_000	TIP_039	2025.6301369863013	2025.546170856777	2025.356554	2025.756974	0.7417974322396577
sim_000	TIP_069	2025.468493150685	2025.4656674649063	2025.398529	2025.569212	0.6504992867332382
sim_000	TIP_198	2025.33698630137	2025.4005393723248	2025.277582	2025.529866	0.15121255349500715
sim_000	TIP_136	2025.6027397260275	2025.5872081283865	2025.358074	2025.837796	0.5492154065620543
sim_000	TIP_074	2025.6849315068494	2025.726394810357	2025.507719	2025.99117055	0.4194008559201141
sim_000	TIP_156	2025.1260273972603	2025.1868211982885	2025.001199	2025.410638	0.38659058487874465
sim_000	TIP_040	2025.164383561644	2025.198499253924	2025.082901	2025.351065	0.2710413694721826
sim_000	TIP_063	2025.9671232876713	2025.896289088988	2025.774962	2025.99664027	0.8787446504992867
sim_000	TIP_102	2025.8027397260273	2025.86793428184	2025.731136	2025.99584	0.21968616262482168
sim_000	TIP_009	2025.0931506849315	2025.1402106661928	2025.004179	2025.302639	0.29243937232524964
sim_000	TIP_092	2025.841095890411	2025.908803501412	2025.817707	2025.99852	0.09700427960057062
sim_000	TIP_087	2025.3123287671233	2025.1228812196844	2024.999179	2025.303129	0.9657631954350927
sim_001	TIP_058	2025.7424657534248	2025.913052718961	2025.767572	2025.9995	0.03566333808844508
sim_001	TIP_177	2025.158904109589	2025.1906209500712	2025.122018	2025.2594440000005	0.1754636233951498
sim_001	TIP_155	2025.6602739726027	2025.4708664108407	2025.409268	2025.552915	1.0
sim_001	TIP_183	2025.695890410959	2025.703152955008	2025.535506	2025.9554344	0.5078459343794579
sim_001	TIP_039	2025.6301369863013	2025.6227394519271	2025.525357	2025.728007	0.5877318116975749
sim_001	TIP_153	2025.2931506849316	2025.2542365435088	2025.140105	2025.361204	0.7189728958630528
sim_001	TIP_136	2025.6027397260275	2025.521948015693	2025.444995	2025.59184	0.9714693295292439
sim_001	TIP_021	2025.3698630136987	2025.3742138288155	2025.325157	2025.433256	0.48074179743223966
sim_001	TIP_022	2025.1808219178083	2025.2247600656212	2025.130846	2025.308979	0.12838801711840228
sim_001	TIP_156	2025.1260273972603	2025.0812585663327	2025.003579	2025.154624	0.8701854493580599
sim_001	TIP_151	2025.2794520547945	2025.2770102653349	2025.193741	2025.370893	0.579172610556348
sim_001	TIP_143	2025.4082191780822	2025.39306364622	2025.3225270000005	2025.469652	0.6690442225392297
sim_002	TIP_010	2025.5260273972603	2025.5223035600568	2025.253584	2025.883561	0.5606276747503567
sim_002	TIP_145	2025.8520547945207	2025.7752064797437	2025.640605	2025.9658633	0.8673323823109843
sim_002	TIP_172	2025.7698630136986	2025.610330455908	2025.39036	2025.8926099	0.8616262482168331
sim_002	TIP_017	2025.1260273972603	2025.1177503851643	2025.0043390000003	2025.2280160000005	0.5848787446504993
sim_002	TIP_174	2025.695890410959	2025.6112841116544	2025.385051	2025.907439	0.7203994293865906
sim_002	TIP_136	2025.6027397260275	2025.678327257604	2025.410588	2025.9698125	0.35805991440798857
sim_002	TIP_015	2025.7835616438356	2025.8095605489457	2025.676202	2025.98790027	0.39657631954350925
sim_002	TIP_016	2025.5123287671233	2025.5949786207568	2025.377812	2025.889411	0.3537803138373752
sim_002	TIP_048	2025.676712328767	2025.5227374002848	2025.326756	2025.725527	0.9315263908701854
sim_002	TIP_171	2025.0876712328768	2025.1240857574908	2025.031607	2025.215388	0.21968616262482168
sim_002	TIP_187	2025.3808219178081	2025.3293541569196	2025.209649	2025.466413	0.818830242510699
sim_002	TIP_133	2025.558904109589	2025.670686515224	2025.437055	2025.9749716	0.30813124108416545
sim_004	TIP_119	2025.1123287671232	2025.106364129816	2025.028876	2025.19594	0.6191155492154066
sim_004	TIP_071	2025.1890410958904	2025.0747810756068	2025.000389	2025.160044	0.9871611982881597
sim_004	TIP_129	2025.6328767123289	2025.5531934921548	2025.425097	2025.671892	0.9215406562054208
sim_004	TIP_082	2025.158904109589	2025.1389164293876	2025.077372	2025.19688	0.7960057061340942
sim_004	TIP_052	2025.3616438356164	2025.3334252510688	2025.246065	2025.414898	0.7746077032810271
sim_004	TIP_096	2025.2383561643835	2025.2159375021388	2025.123937	2025.335625	0.6890156918687589
sim_004	TIP_025	2025.6438356164383	2025.706700232527	2025.631686	2025.787611	0.05420827389443652
sim_004	TIP_039	2025.6301369863013	2025.6071164536363	2025.512778	2025.711888	0.7104136947218259
sim_004	TIP_163	2025.4054794520548	2025.3347189087003	2025.203169	2025.514558	0.7803138373751783
sim_004	TIP_124	2025.854794520548	2025.9412809645355	2025.860814	2026.00136	0.047075606276747506
sim_005	TIP_007	2025.695890410959	2025.6039490385135	2025.49534	2025.7120580000003	0.9343794579172611
sim_005	TIP_172	2025.7698630136986	2025.7126040038804	2025.587021	2025.861744	0.8059914407988588
sim_005	TIP_065	2025.323287671233	2025.3260485748924	2025.246965	2025.434196	0.5178316690442225
sim_005	TIP_123	2025.468493150685	2025.290643211128	2025.132047	2025.431736	0.992867332382311
sim_005	TIP_047	2025.890410958904	2025.9494359240064	2025.878302	2026.00027	0.0884450784593438
sim_005	TIP_025	2025.6438356164383	2025.627195694721	2025.560393	2025.729257	0.6918687589158345
sim_005	TIP_163	2025.4054794520548	2025.3926813680464	2025.272442	2025.49545	0.5734664764621968
sim_005	TIP_142	2025.2739726027398	2025.1955930770332	2025.113598	2025.269872	0.9714693295292439
