replicate	tip_name	true_date	posterior_mean	hpd_lo	hpd_hi	normalized_rank
sim_000	TIP_122	2025.9479452054795	2025.9394353534385	2025.9101382	2025.9875314	0.7104136947218259
sim_000	TIP_226	2025.331506849315	2025.3566163124096	2025.324517	2025.400269	0.09985734664764621
sim_000	TIP_216	2025.868493150685	2025.8706021878709	2025.8298660000005	2025.9086288	0.47360912981455067
sim_000	TIP_263	2025.1890410958904	2025.196797643364	2025.159404	2025.237676	0.42653352353780316
sim_000	TIP_029	2025.972602739726	2025.968130177676	2025.9220277	2025.99994	0.49072753209700426
sim_000	TIP_310	2025.5123287671233	2025.5431247931508	2025.4989	2025.579592	0.16833095577746077
sim_000	TIP_275	2025.9945205479453	2025.9635730866896	2025.9183579	2025.99959	0.9300998573466477
sim_000	TIP_032	2025.2191780821918	2025.206150221112	2025.166164	2025.244655	0.666191155492154
sim_000	TIP_328	2025.1890410958904	2025.205247400855	2025.169203	2025.243285	0.25677603423680456
sim_000	TIP_015	2025.9178082191781	2025.9387983007837	2025.9100982	2025.9823311	0.12981455064194009
sim_000	TIP_428	2025.282191780822	2025.2840311455047	2025.249155	2025.325477	0.4921540656205421
sim_000	TIP_098	2025.4630136986302	2025.4738695634785	2025.444385	2025.49796	0.23252496433666192
sim_000	TIP_057	2025.9479452054795	2025.9395760541795	2025.9110282	2025.9883611	0.7004279600570613
sim_000	TIP_430	2025.7917808219179	2025.7879140599136	2025.750824	2025.828907	0.5534950071326676
sim_000	TIP_039	2025.2109589041097	2025.220134179743	2025.184791	2025.247715	0.2738944365192582
sim_000	TIP_336	2025.9424657534246	2025.944062795936	2025.9150679	2025.98863055	0.5278174037089871
sim_000	TIP_173	2025.3397260273973	2025.36401472753	2025.328497	2025.405489	0.21112696148359486
sim_000	TIP_377	2025.6164383561643	2025.62108000856	2025.584381	2025.657484	0.39942938659058486
sim_000	TIP_258	2025.9424657534246	2025.962154370097	2025.9171277	2025.99945	0.2781740370898716
sim_000	TIP_045	2025.5890410958905	2025.596953990013	2025.575892	2025.628707	0.3651925820256776
sim_000	TIP_444	2025.1013698630136	2025.1438126276728	2025.112489	2025.163564	0.017118402282453638
sim_000	TIP_432	2025.2383561643835	2025.2104141925809	2025.172053	2025.243836	0.9315263908701854
sim_000	TIP_198	2025.4109589041095	2025.3974777146905	2025.376032	2025.415929	0.912981455064194
sim_000	TIP_157	2025.1561643835616	2025.1191121098432	2025.085751	2025.158034	0.9643366619115549
sim_000	TIP_013	2025.3150684931506	2025.2986482082756	2025.260544	2025.329727	0.760342368045649
sim_000	TIP_264	2025.8986301369864	2025.898573955348	2025.879042	2025.9166485	0.4479315263908702
sim_000	TIP_131	2025.5561643835617	2025.5448639871604	2025.503289	2025.580682	0.6205420827389444
sim_000	TIP_351	2025.3808219178081	2025.360837261056	2025.329217	2025.40247	0.7874465049928673
sim_000	TIP_020	2025.013698630137	2025.0312415863057	2024.99525	2025.070903	0.275320970042796
sim_000	TIP_161	2025.6027397260275	2025.619246988586	2025.584111	2025.658904	0.23537803138373753
sim_000	TIP_022	2025.4520547945206	2025.4704810684732	2025.438306	2025.49796	0.12838801711840228
sim_000	TIP_499	2025.8876712328768	2025.8863175126935	2025.859284	2025.9138388	0.5263908701854494
sim_000	TIP_230	2025.627397260274	2025.6193134365149	2025.582251	2025.660393	0.6134094151212554
sim_000	TIP_271	2025.504109589041	2025.522481068472	2025.49556	2025.553804	0.12696148359486448
sim_000	TIP_033	2025.0630136986301	2025.0422161626252	2025.000139	2025.079042	0.7646219686162625
sim_000	TIP_300	2025.8246575342466	2025.779433025676	2025.744525	2025.820278	0.9771754636233951
sim_000	TIP_128	2025.6465753424657	2025.6525340570608	2025.633146	2025.667943	0.24821683309557774
sim_000	TIP_179	2025.2465753424658	2025.2746629529229	2025.242325	2025.315558	0.04136947218259629
sim_000	TIP_050	2025.3205479452056	2025.286528550644	2025.249475	2025.327257	0.9144079885877318
sim_000	TIP_147	2025.8246575342466	2025.789610272464	2025.751374	2025.829037	0.9300998573466477
sim_000	TIP_325	2025.1835616438357	2025.187695185448	2025.158764	2025.228427	0.4950071326676177
sim_000	TIP_411	2025.9945205479453	2025.9710262382584	2025.9349358	2025.99945	0.927246790299572
sim_000	TIP_081	2025.454794520548	2025.4461439743209	2025.409588	2025.482601	0.6604850213980028
sim_000	TIP_041	2025.2054794520548	2025.20241777318	2025.163563	2025.240546	0.5335235378031383
sim_000	TIP_392	2025.1890410958904	2025.2016204935812	2025.162603	2025.240116	0.3238231098430813
sim_000	TIP_212	2025.3287671232877	2025.348385385164	2025.3239570000003	2025.382081	0.07845934379457917
sim_000	TIP_339	2025.4520547945206	2025.4701918716105	2025.438086	2025.49807	0.14835948644793154
sim_000	TIP_304	2025.0931506849315	2025.1103731169776	2025.080551	2025.149375	0.24251069900142652
sim_000	TIP_095	2025.9808219178083	2025.946736085408	2025.9115082	2025.98877082	0.9186875891583453
sim_000	TIP_150	2025.0739726027398	2025.046777156915	2025.003559	2025.0806820000005	0.8873038516405135
sim_000	TIP_409	2025.8219178082193	2025.8128999429384	2025.784381	2025.834657	0.6890156918687589
sim_000	TIP_298	2025.0054794520547	2025.032296833096	2024.99546	2025.074812	0.11554921540656206
sim_000	TIP_139	2025.6575342465753	2025.6473907489317	2025.623557	2025.667983	0.7988587731811697
sim_000	TIP_028	2025.345205479452	2025.3763376148347	2025.342365	2025.407279	0.04136947218259629
