replicate	tip_name	true_date	posterior_mean	hpd_lo	hpd_hi	normalized_rank
sim_000	TIP_362	2025.079452	2025.044682	2025.012548	2025.080872	0.984308
sim_000	TIP_467	2025.087671	2025.105382	2025.080011	2025.141206	0.142653
sim_000	TIP_089	2025.665753	2025.698832	2025.667133	2025.741966	0.025678
sim_000	TIP_287	2025.619178	2025.646566	2025.617978	2025.667333	0.057061
sim_000	TIP_284	2025.964384	2025.962529	2025.924827	2026.000810	0.507846
sim_000	TIP_098	2025.550685	2025.552520	2025.521977	2025.580432	0.423680
sim_000	TIP_307	2025.260274	2025.272728	2025.241765	2025.311819	0.362340
sim_000	TIP_078	2025.619178	2025.615741	2025.581422	2025.659834	0.594864
sim_000	TIP_195	2025.665753	2025.690644	2025.661113	2025.733056	0.067047
sim_000	TIP_014	2025.219178	2025.210023	2025.176772	2025.242566	0.679030
sim_000	TIP_028	2025.334247	2025.358082	2025.326697	2025.392481	0.071327
sim_000	TIP_394	2025.128767	2025.137110	2025.110258	2025.160484	0.295292
sim_000	TIP_273	2025.542466	2025.531701	2025.493820	2025.571352	0.654779
sim_000	TIP_387	2025.561644	2025.533100	2025.497370	2025.574252	0.877318
sim_000	TIP_279	2025.312329	2025.312178	2025.285472	2025.330287	0.402282
sim_000	TIP_485	2025.049315	2025.047903	2025.015068	2025.081102	0.522111
sim_000	TIP_236	2025.852055	2025.871747	2025.835246	2025.912108	0.223966
sim_000	TIP_343	2025.060274	2025.063129	2025.037106	2025.086452	0.363766
sim_000	TIP_070	2025.495890	2025.518299	2025.493700	2025.555944	0.049929
sim_000	TIP_018	2025.608219	2025.619841	2025.588721	2025.659193	0.296719
sim_000	TIP_403	2025.534247	2025.543879	2025.504599	2025.577752	0.346648
sim_000	TIP_385	2025.523288	2025.544942	2025.509319	2025.577742	0.139800
sim_000	TIP_323	2025.432877	2025.443220	2025.410528	2025.478132	0.328103
sim_000	TIP_037	2025.147945	2025.138188	2025.110249	2025.163164	0.690442
sim_000	TIP_062	2025.030137	2025.011414	2024.995030	2025.038126	0.897290
sim_000	TIP_416	2025.654795	2025.644190	2025.611508	2025.667983	0.681883
sim_000	TIP_041	2025.008219	2025.017832	2024.995080	2025.055504	0.372325
sim_000	TIP_328	2025.753425	2025.780140	2025.744015	2025.817048	0.102710
sim_000	TIP_292	2025.643836	2025.637354	2025.603229	2025.666513	0.593438
sim_000	TIP_181	2025.821918	2025.793811	2025.756724	2025.830837	0.900143
sim_000	TIP_174	2025.476712	2025.441337	2025.408728	2025.476612	0.950071
sim_000	TIP_248	2025.265753	2025.263450	2025.241605	2025.292820	0.643367
sim_000	TIP_137	2025.501370	2025.511018	2025.490920	2025.542076	0.323823
sim_000	TIP_386	2025.101370	2025.114641	2025.082741	2025.150525	0.286733
sim_000	TIP_451	2025.915068	2025.949397	2025.912838	2025.989851	0.042796
sim_000	TIP_305	2025.509589	2025.510306	2025.490920	2025.540546	0.623395
sim_000	TIP_106	2025.561644	2025.561095	2025.528387	2025.580482	0.396576
sim_000	TIP_162	2025.202740	2025.224648	2025.195180	2025.248045	0.111270
sim_000	TIP_038	2025.172603	2025.177858	2025.156724	2025.206019	0.440799
sim_000	TIP_143	2025.753425	2025.770729	2025.743025	2025.812668	0.208274
sim_000	TIP_420	2025.975342	2025.971143	2025.927397	2026.001520	0.487874
sim_000	TIP_189	2025.657534	2025.616386	2025.581321	2025.659834	0.955777
sim_000	TIP_204	2025.142466	2025.136723	2025.106629	2025.163274	0.582026
sim_000	TIP_365	2025.386301	2025.382247	2025.354094	2025.412369	0.566334
sim_000	TIP_370	2025.271233	2025.273353	2025.244385	2025.305759	0.503566
sim_000	TIP_320	2025.528767	2025.525056	2025.492780	2025.566903	0.603424
sim_000	TIP_054	2025.556164	2025.528691	2025.496550	2025.571412	0.884451
sim_000	TIP_470	2025.843836	2025.852866	2025.827906	2025.889471	0.395150
sim_000	TIP_161	2025.178082	2025.181367	2025.157654	2025.209699	0.485021
sim_000	TIP_140	2025.013699	2025.024683	2024.998090	2025.055344	0.259629
sim_000	TIP_023	2025.427397	2025.454324	2025.420617	2025.491071	0.106990
sim_000	TIP_369	2025.687671	2025.692262	2025.661713	2025.730366	0.453638
sim_000	TIP_324	2025.690411	2025.693970	2025.663683	2025.728497	0.456491
sim_000	TIP_438	2025.624658	2025.629236	2025.589581	2025.664593	0.393723
sim_000	TIP_384	2025.230137	2025.213150	2025.181431	2025.248045	0.768902
sim_000	TIP_007	2025.786301	2025.796403	2025.756644	2025.831447	0.308131
sim_000	TIP_131	2025.876712	2025.883066	2025.841796	2025.912059	0.358060
sim_000	TIP_171	2025.394521	2025.394480	2025.367773	2025.415219	0.432240
sim_000	TIP_119	2025.772603	2025.786253	2025.749434	2025.829797	0.363766
sim_000	TIP_271	2025.972603	2025.963659	2025.917368	2025.996930	0.589158
sim_000	TIP_241	2025.336986	2025.343195	2025.323797	2025.373322	0.442225
sim_000	TIP_215	2025.682192	2025.692797	2025.661653	2025.733916	0.362340
sim_000	TIP_350	2025.504110	2025.514688	2025.490920	2025.551304	0.332382
sim_000	TIP_024	2025.317808	2025.276949	2025.247065	2025.313968	0.980029
sim_000	TIP_428	2025.063014	2025.045855	2025.004370	2025.083672	0.707561
sim_000	TIP_222	2025.153425	2025.143406	2025.114698	2025.163164	0.758916
sim_000	TIP_427	2025.928767	2025.949069	2025.915508	2025.993421	0.223966
sim_000	TIP_352	2025.890411	2025.882100	2025.847165	2025.914728	0.624822
sim_000	TIP_009	2025.241096	2025.219970	2025.189471	2025.248045	0.914408
sim_000	TIP_379	2025.515068	2025.530575	2025.496620	2025.571393	0.269615
sim_000	TIP_383	2025.038356	2025.020583	2024.995030	2025.059834	0.823110
sim_000	TIP_463	2025.539726	2025.527487	2025.494580	2025.568672	0.717546
sim_001	TIP_052	2025.380822	2025.367981	2025.329926	2025.404920	0.718973
sim_001	TIP_417	2025.934247	2025.952027	2025.912118	2025.994080	0.308131
sim_001	TIP_069	2025.734247	2025.726291	2025.696220	2025.747445	0.653352
sim_001	TIP_414	2025.501370	2025.525302	2025.494030	2025.568313	0.128388
sim_001	TIP_470	2025.065753	2025.061655	2025.038406	2025.084872	0.577746
sim_001	TIP_297	2025.863014	2025.862418	2025.828126	2025.903550	0.553495
sim_001	TIP_441	2025.824658	2025.795234	2025.756224	2025.833037	0.898716
sim_001	TIP_003	2025.421918	2025.432116	2025.408948	2025.466033	0.355207
sim_001	TIP_341	2025.200000	2025.184576	2025.157104	2025.214908	0.818830
sim_001	TIP_436	2025.964384	2025.957616	2025.917858	2025.996430	0.596291
sim_001	TIP_332	2025.972603	2025.975465	2025.940565	2026.002180	0.383738
sim_001	TIP_015	2025.430137	2025.436185	2025.408948	2025.468833	0.442225
sim_001	TIP_234	2025.813699	2025.814572	2025.780442	2025.835057	0.368046
sim_001	TIP_266	2025.252055	2025.276538	2025.246625	2025.317218	0.075606
sim_001	TIP_449	2025.342466	2025.353043	2025.324777	2025.388211	0.339515
sim_001	TIP_136	2025.161644	2025.175872	2025.157004	2025.205529	0.094151
sim_001	TIP_418	2025.857534	2025.870027	2025.834746	2025.903550	0.282454
sim_001	TIP_123	2025.630137	2025.617253	2025.588481	2025.657484	0.784593
sim_001	TIP_322	2025.821918	2025.815776	2025.789381	2025.835057	0.587732
sim_001	TIP_320	2025.775342	2025.776654	2025.743575	2025.818448	0.526391
sim_001	TIP_099	2025.983562	2025.961923	2025.918798	2025.999170	0.761769
sim_001	TIP_407	2025.797260	2025.795660	2025.758014	2025.832817	0.509272
sim_001	TIP_218	2025.832877	2025.859615	2025.828556	2025.900499	0.052782
sim_001	TIP_220	2025.591781	2025.598274	2025.576232	2025.630677	0.442225
sim_001	TIP_228	2025.673973	2025.693453	2025.662093	2025.734407	0.203994
sim_001	TIP_460	2025.756164	2025.778041	2025.744505	2025.817598	0.168331
sim_001	TIP_393	2025.898630	2025.895990	2025.864883	2025.917029	0.462197
sim_001	TIP_454	2025.473973	2025.434254	2025.409218	2025.469543	0.962910
sim_001	TIP_179	2025.893151	2025.866154	2025.832056	2025.903110	0.890157
sim_001	TIP_014	2025.926027	2025.952551	2025.913438	2025.995551	0.155492
sim_001	TIP_388	2025.035616	2025.019047	2024.995570	2025.054015	0.853067
sim_001	TIP_365	2025.232877	2025.222299	2025.190530	2025.248695	0.654779
sim_001	TIP_488	2025.106849	2025.109962	2025.080831	2025.144705	0.504993
sim_001	TIP_489	2025.221918	2025.210464	2025.173532	2025.244316	0.649073
sim_001	TIP_017	2025.758904	2025.790661	2025.754304	2025.829407	0.079886
sim_001	TIP_237	2025.227397	2025.216296	2025.180061	2025.248755	0.631954
sim_001	TIP_370	2025.304110	2025.297561	2025.257804	2025.330457	0.537803
sim_001	TIP_137	2025.961644	2025.966097	2025.925317	2026.001030	0.415121
sim_001	TIP_306	2025.589041	2025.632777	2025.597030	2025.665913	0.021398
sim_001	TIP_421	2025.131507	2025.113519	2025.083181	2025.146125	0.844508
sim_001	TIP_113	2025.375342	2025.343722	2025.324177	2025.374302	0.951498
sim_001	TIP_101	2025.213699	2025.209554	2025.168122	2025.244816	0.546362
sim_001	TIP_497	2025.542466	2025.528550	2025.496060	2025.568122	0.763195
sim_001	TIP_473	2025.819178	2025.783509	2025.748944	2025.827717	0.917261
sim_001	TIP_403	2025.964384	2025.968708	2025.925468	2026.002180	0.379458
sim_001	TIP_429	2025.161644	2025.176740	2025.157104	2025.204709	0.075606
sim_001	TIP_439	2025.600000	2025.611438	2025.578962	2025.652265	0.350927
sim_001	TIP_204	2025.975342	2025.950112	2025.913168	2025.993650	0.810271
sim_001	TIP_040	2025.002740	2025.023127	2024.997320	2025.059544	0.084165
sim_001	TIP_415	2025.764384	2025.777607	2025.746145	2025.825958	0.359486
sim_001	TIP_145	2025.460274	2025.457575	2025.419518	2025.496100	0.527817
sim_001	TIP_058	2025.230137	2025.235997	2025.218478	2025.248805	0.209700
sim_001	TIP_499	2025.482192	2025.481322	2025.456824	2025.498070	0.420827
sim_001	TIP_400	2025.723288	2025.692515	2025.664383	2025.736326	0.894437
sim_001	TIP_399	2025.468493	2025.462249	2025.426508	2025.495990	0.570613
sim_001	TIP_181	2025.934247	2025.955592	2025.915798	2025.998290	0.239658
sim_001	TIP_325	2025.493151	2025.481772	2025.461933	2025.498070	0.883024
sim_001	TIP_245	2025.994521	2025.968802	2025.935007	2026.002070	0.955777
sim_001	TIP_209	2025.884932	2025.860858	2025.829266	2025.903340	0.838802
sim_001	TIP_471	2025.350685	2025.354747	2025.324287	2025.398460	0.519258
sim_001	TIP_148	2025.191781	2025.209257	2025.180812	2025.244055	0.181170
sim_001	TIP_422	2025.506849	2025.519072	2025.491460	2025.552535	0.298146
sim_001	TIP_038	2025.290411	2025.295384	2025.256774	2025.327827	0.383738
sim_001	TIP_197	2025.657534	2025.613423	2025.579131	2025.655985	0.974322
sim_001	TIP_480	2025.424658	2025.431741	2025.409218	2025.469753	0.443652
sim_001	TIP_464	2025.043836	2025.036888	2025.001040	2025.075232	0.610556
sim_001	TIP_256	2025.739726	2025.727045	2025.696760	2025.749855	0.751783
sim_001	TIP_486	2025.367123	2025.368180	2025.330746	2025.403930	0.475036
sim_001	TIP_143	2025.145205	2025.144304	2025.120598	2025.163714	0.450785
sim_001	TIP_227	2025.893151	2025.888466	2025.848655	2025.916978	0.509272
sim_001	TIP_207	2025.139726	2025.133217	2025.102400	2025.162024	0.577746
sim_001	TIP_344	2025.460274	2025.463613	2025.426458	2025.495061	0.399429
sim_001	TIP_205	2025.572603	2025.538665	2025.498750	2025.578082	0.928673
sim_001	TIP_396	2025.989041	2025.953950	2025.915018	2025.996000	0.904422
sim_001	TIP_230	2025.265753	2025.280861	2025.248375	2025.322797	0.283880
sim_001	TIP_269	2025.430137	2025.463262	2025.425147	2025.494341	0.061341
sim_002	TIP_028	2025.783562	2025.773601	2025.744065	2025.812709	0.711840
sim_002	TIP_072	2025.769863	2025.780922	2025.744125	2025.813579	0.283880
sim_002	TIP_127	2025.517808	2025.524712	2025.493810	2025.568722	0.445078
sim_002	TIP_182	2025.487671	2025.483249	2025.465753	2025.497800	0.631954
