item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    1209.254 0.152388 3.694036 1209     1202     1216     2382808. 587.626  1209.248
posterior_for_Delphy       -31869.3 28.57849 2171.011 -31971.1 -36122.9 -27747.7 242630.1 5770.923 NaN     
prior_for_Delphy           -1743.13 27.61485 2120.696 -1840.14 -5854.4  2334.62  237420.5 5897.551 NaN     
likelihood_really_logG     -30126.1 10.63725 145.1796 -30115.9 -30424.6 -29860.2 7516882. 186.2740 NaN     
rootHeight                 3.302627 0.020687 0.329705 3.26172  2.70147  3.96023  5512342. 254.0117 3.286777
age(root)                  2013.476 0.020673 0.329561 2013.52  2012.83  2014.08  5509419. 254.1465 2013.476
treeLength                 139.5265 1.294541 15.33792 137.499  112.902  170.024  9974446. 140.3787 138.7275
exponential.popSize        183.1949 2.688541 59.60823 173.015  80.3841  297.946  2848463. 491.5632 174.3543
exponential.growthRate     1.555696 0.006358 0.194358 1.55207  1.18695  1.94233  1498496. 934.4029 1.543443
kappa                      17.77917 0.020887 1.726899 17.6845  14.5963  21.3273  204841.4 6835.531 17.69642
frequencies1               0.263589 5.16E-5  0.004159 0.263628 0.255905 0.271982 215154.6 6507.877 0.263557
frequencies2               0.229214 4.73E-5  0.003915 0.229177 0.221806 0.237145 204166.7 6858.118 0.229181
frequencies3               0.280329 5.1E-5   0.004271 0.280221 0.272053 0.288868 200000   7001     0.280296
frequencies4               0.226868 4.89E-5  0.004009 0.226895 0.219265 0.234967 207889.8 6735.297 0.226832
alpha                      0.281683 0.000349 0.026725 0.279873 0.232904 0.336188 238616.1 5868.002 0.280434
clock.rate                 0.000975 8.37E-6  0.000106 0.000976 0.00076  0.001178 8654745. 161.7840 0.000969
meanRate                   0.000975 8.37E-6  0.000106 0.000976 0.00076  0.001178 8654745. 161.7840 0.000969
age(KU527068.1|2015)       1.080064 0.003656 0.210899 1.04685  0.780955 1.4798   420825.5 3327.269 1.060622
age(KU647676.1|2015-12)    0.823129 0.000293 0.024527 0.823271 0.781665 0.862334 200000   7001     0.822763
age(KU820897.5|2015-12)    0.81998  0.000289 0.024207 0.818393 0.780958 0.860454 200000   7001     0.819624
age(KX101060.1|2015-05)    1.411573 0.000293 0.02453  1.41268  1.37203  1.45199  200000   7001     1.411359
age(KX101061.1|2015-05)    1.403133 0.001029 0.024105 1.39988  1.36713  1.44552  2550720. 548.9428 1.402927
age(KX101066.1|2015-05)    1.409584 0.000294 0.024562 1.40926  1.37064  1.45121  200000   7001     1.40937 
age(KX280026.1|2015)       1.207409 0.004159 0.26156  1.19034  0.780825 1.67659  354030.9 3955.021 1.179227
treeLikelihood_really_logG -30126.1 10.63725 145.1796 -30115.9 -30424.6 -29860.2 7516882. 186.2740 NaN     
branchRates                0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                 -702.170 1.786008 21.45308 -700.52  -745.253 -662.366 9704588. 144.2822 NaN     
